name,new_class
J082115.28+354515.3.jpg,2
J154055.74+324653.4.jpg,2
J161735.59+350802.8.jpg,1
J114904.64+484458.7.jpg,1
J095937.63+101956.5.jpg,2
J085148.61+291646.1.jpg,3
J102657.35+473127.6.jpg,0
J163452.42+401141.1.jpg,3
J115708.92+505730.4.jpg,0
J075956.58+322319.8.jpg,2
J131047.02+500534.3.jpg,3
J141538.37+362230.2.jpg,3
J004847.01+154232.1.jpg,1
J093412.53+464228.7.jpg,0
J002703.83+002737.1.jpg,3
J162656.90+352759.9.jpg,3
J154847.04+093126.5.jpg,2
J083549.21+513459.8.jpg,2
J230111.07+130932.5.jpg,1
J154417.87+344146.6.jpg,0
J082228.47+062626.1.jpg,0
J102457.71+474513.5.jpg,0
J102656.15+080908.0.jpg,1
J160316.91+030043.9.jpg,1
J025723.87-001833.9.jpg,0
J094551.11+003819.3.jpg,3
J145223.94+550626.6.jpg,0
J104234.25+604149.4.jpg,0
J002552.49-093942.3.jpg,2
J140441.31-021902.8.jpg,2
J223128.82+011053.6.jpg,3
J225756.44-093457.2.jpg,3
J105036.77-004951.9.jpg,2
J111304.64+052025.7.jpg,3
J011302.83+153138.8.jpg,0
J080249.14+402726.5.jpg,0
J093635.36+010659.8.jpg,2
J153246.84+401324.8.jpg,2
J005620.79+135143.6.jpg,1
J114800.22+042917.3.jpg,2
J134220.51+610904.6.jpg,3
J014923.41-082629.6.jpg,2
J104717.63+472521.0.jpg,3
J130107.37+544757.1.jpg,2
J112730.31+423147.0.jpg,2
J095633.46+015057.2.jpg,1
J105135.44+475707.1.jpg,3
J133205.80+013602.9.jpg,0
J110508.30+444500.0.jpg,4
J142227.50+000338.0.jpg,4
J011249.42+153027.7.jpg,1
J163131.69+395351.5.jpg,1
J105646.11+053939.9.jpg,2
J205229.70-054445.9.jpg,2
J101913.75+590751.9.jpg,2
J133034.68+420040.9.jpg,0
J231757.17-100839.0.jpg,0
J135456.69+020544.5.jpg,3
J112552.54+602846.4.jpg,0
J110436.95+450730.7.jpg,2
J162121.28+401835.9.jpg,1
J021803.84-082705.4.jpg,3
J220419.63-082549.5.jpg,2
J102937.73+382422.0.jpg,0
J034858.31-003115.9.jpg,2
J132249.21+545528.2.jpg,0
J101949.36-010121.5.jpg,3
J010045.83-091108.5.jpg,3
J221652.39+132533.4.jpg,1
J083104.38+393722.0.jpg,1
J163100.14+401451.5.jpg,1
J091924.16+333726.4.jpg,2
J164841.13+240958.8.jpg,2
J034117.69-060616.2.jpg,3
J085601.94+572327.4.jpg,1
J112751.20+443709.8.jpg,2
J102652.63+401955.1.jpg,1
J084957.67+084541.8.jpg,1
J104117.70+135500.0.jpg,3
J125921.46+450831.4.jpg,2
J160907.08+513548.5.jpg,3
J173022.18+593832.2.jpg,3
J102331.24+072036.2.jpg,0
J140500.29+130800.9.jpg,0
J133436.76+460914.6.jpg,0
