name,new_class
J011540.64+011152.6.jpg,2
J165217.27+231801.3.jpg,0
J163119.27+394438.8.jpg,0
J150816.39+564007.9.jpg,0
J095804.47+401333.6.jpg,2
J093316.71+335420.5.jpg,2
J165203.09+630700.0.jpg,3
J155913.52+273940.1.jpg,3
J233019.67+132657.3.jpg,0
J163045.22+260542.9.jpg,2
J162106.09+275354.3.jpg,1
J143127.75+391533.3.jpg,1
J094420.84+043531.8.jpg,0
J220751.03-081751.8.jpg,0
J140132.73+133206.0.jpg,2
J084135.45+420720.3.jpg,1
J091350.87+500952.4.jpg,2
J162430.82+281747.3.jpg,3
J115909.54+630321.6.jpg,2
J095455.15+002243.1.jpg,3
J233801.02+155401.6.jpg,0
J083706.51+412722.7.jpg,3
J161644.69+520046.9.jpg,2
J072806.00+375921.9.jpg,0
J151843.83+041735.1.jpg,3
J091714.11+442921.0.jpg,0
J094628.58+454509.3.jpg,1
J082825.53+403750.0.jpg,0
J113121.01+550637.4.jpg,1
J011743.74-004952.9.jpg,0
J141330.00+001109.0.jpg,3
J011612.79-000628.3.jpg,0
J132528.85+122903.6.jpg,2
J165141.69+414006.1.jpg,3
J020357.99+141839.0.jpg,3
J092437.72+492125.4.jpg,3
J095614.58+362513.7.jpg,0
J032329.63-062944.1.jpg,0
J121010.75+491709.6.jpg,3
J074535.72+335746.6.jpg,0
J032528.70+001642.7.jpg,0
J005519.78-103227.4.jpg,3
J172421.21+583341.1.jpg,0
J083732.60+284221.9.jpg,3
J084525.76+325657.6.jpg,2
J135032.13+031138.9.jpg,2
J005852.00-084631.0.jpg,1
J104002.95+060114.0.jpg,2
J084916.39+360711.2.jpg,3
J132925.39+115442.0.jpg,2
J110848.53+070021.6.jpg,0
J142713.77+025048.6.jpg,0
J153545.82+445005.3.jpg,3
J215226.03-081024.9.jpg,3
J014438.07-095142.8.jpg,1
J122358.85+484646.1.jpg,3
J002949.34-011405.7.jpg,0
J103009.61+440720.8.jpg,3
J152546.43+482928.2.jpg,2
J122713.70+094230.6.jpg,1
J131236.54+605835.9.jpg,3
J154125.56+025831.5.jpg,2
J025640.43-005614.2.jpg,1
J165315.13+642834.5.jpg,1
J100431.76+600628.5.jpg,0
J155335.89+493755.9.jpg,3
J084133.31+323841.9.jpg,2
J150741.27+373902.7.jpg,3
J093855.69+354142.5.jpg,3
J145856.92+314712.0.jpg,3
J115012.44+452843.0.jpg,3
J161315.20+295524.6.jpg,1
